absolute_course_url,course_name,subject_name
https://www.class-central.com/course/coursera-marketing-in-a-digital-world-2750,Marketing in a Digital World,Business
https://www.class-central.com/course/coursera-introduction-to-marketing-1137,Introduction to Marketing,Business
https://www.class-central.com/course/coursera-introduction-to-financial-accounting-769,Introduction to Financial Accounting,Business
https://www.class-central.com/course/coursera-preparing-to-manage-human-resources-5462,Preparing to Manage Human Resources,Business
https://www.class-central.com/course/edx-applied-scrum-for-project-management-11917,Applied Scrum for Project Management,Business
https://www.class-central.com/course/coursera-digital-analytics-for-marketing-professionals-marketing-analytics-in-theory-2753,Digital Analytics for Marketing Professionals: Marketing Analytics in Theory,Business
https://www.class-central.com/course/edx-estadistica-aplicada-a-los-negocios-10270,Estadística Aplicada a los Negocios,Business
https://www.class-central.com/course/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship-840,Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,Business
https://www.class-central.com/course/coursera-introduction-to-operations-management-372,Introduction to Operations Management,Business
https://www.class-central.com/course/coursera-critical-perspectives-on-management-714,Critical Perspectives on Management,Business
https://www.class-central.com/course/edx-excel-fundamentos-y-herramientas-2962,Excel: Fundamentos y herramientas,Business
https://www.class-central.com/course/coursera-financial-markets-912,Financial Markets,Business
https://www.class-central.com/course/coursera-fundamentals-of-project-planning-and-management-3292,Fundamentals of Project Planning and Management,Business
https://www.class-central.com/course/coursera-project-management-the-basics-for-success-2782,Project Management: The Basics for Success,Business
https://www.class-central.com/course/coursera-foundations-of-business-strategy-546,Foundations of Business Strategy,Business
https://www.class-central.com/course/coursera-competitive-strategy-706,Competitive Strategy,Business
https://www.class-central.com/course/coursera-initiating-and-planning-projects-2728,Initiating and Planning Projects,Business
https://www.class-central.com/course/coursera-inspiring-leadership-through-emotional-intelligence-710,Inspiring Leadership through Emotional Intelligence,Business
https://www.class-central.com/course/coursera-business-strategy-5242,Business Strategy,Business
https://www.class-central.com/course/udacity-how-to-build-a-startup-461,How to Build a Startup,Business
https://www.class-central.com/course/edx-marketing-digital-content-community-manager-10386,Marketing Digital: Content & Community Manager,Business
https://www.class-central.com/course/edx-lean-production-8447,Lean Production,Business
https://www.class-central.com/course/coursera-customer-analytics-4353,Customer Analytics,Business
https://www.class-central.com/course/coursera-viral-marketing-and-how-to-craft-contagious-content-5034,Viral Marketing and How to Craft Contagious Content,Business
https://www.class-central.com/course/coursera-introduction-to-corporate-finance-625,Introduction to Corporate Finance,Business
https://www.class-central.com/course/edx-introduccion-a-la-inversion-bursatil-5316,Introducción a la inversión bursátil,Business
https://www.class-central.com/course/coursera-on-strategy-what-managers-can-learn-from-philosophy-part-1-1312,On Strategy : What Managers Can Learn from Philosophy - PART 1,Business
https://www.class-central.com/course/canvas-network-project-management-for-business-professionals-962,Project Management for Business Professionals,Business
https://www.class-central.com/course/coursera-finance-for-non-financial-professionals-2726,Finance for Non-Financial Professionals,Business
https://www.class-central.com/course/coursera-international-leadership-and-organizational-behavior-1371,International Leadership and Organizational Behavior,Business
https://www.class-central.com/course/coursera-becoming-a-changemaker-introduction-to-social-innovation-6655,Becoming a changemaker: Introduction to Social Innovation,Business
https://www.class-central.com/course/edx-six-sigma-define-and-measure-8450,Six Sigma: Define and Measure,Business
https://www.class-central.com/course/coursera-what-is-social-4205,What is Social?,Business
https://www.class-central.com/course/coursera-new-models-of-business-in-society-648,New Models of Business in Society,Business
https://www.class-central.com/course/edx-herramientas-de-la-inteligencia-de-negocios-10281,Herramientas de la Inteligencia de Negocios,Business
